Series ID,Year,Period,Label,Value,1-Month Net Change
CUUR0000SA0,2011,M10,2011 Oct,226.421,N/A
CUUR0000SA0,2011,M11,2011 Nov,226.230,N/A
CUUR0000SA0,2011,M12,2011 Dec,225.672,N/A
CUUR0000SA0,2012,M01,2012 Jan,226.665,N/A
CUUR0000SA0,2012,M02,2012 Feb,227.663,N/A
CUUR0000SA0,2012,M03,2012 Mar,229.392,N/A
CUUR0000SA0,2012,M04,2012 Apr,230.085,N/A
CUUR0000SA0,2012,M05,2012 May,229.815,N/A
CUUR0000SA0,2012,M06,2012 Jun,229.478,N/A
CUUR0000SA0,2012,M07,2012 Jul,229.104,N/A
CUUR0000SA0,2012,M08,2012 Aug,230.379,N/A
CUUR0000SA0,2012,M09,2012 Sep,231.407,N/A
CUUR0000SA0,2012,M10,2012 Oct,231.317,N/A
CUUR0000SA0,2012,M11,2012 Nov,230.221,N/A
CUUR0000SA0,2012,M12,2012 Dec,229.601,N/A
CUUR0000SA0,2013,M01,2013 Jan,230.280,N/A
CUUR0000SA0,2013,M02,2013 Feb,232.166,N/A
CUUR0000SA0,2013,M03,2013 Mar,232.773,N/A
CUUR0000SA0,2013,M04,2013 Apr,232.531,N/A
CUUR0000SA0,2013,M05,2013 May,232.945,N/A
CUUR0000SA0,2013,M06,2013 Jun,233.504,N/A
CUUR0000SA0,2013,M07,2013 Jul,233.596,N/A
CUUR0000SA0,2013,M08,2013 Aug,233.877,N/A
CUUR0000SA0,2013,M09,2013 Sep,234.149,N/A
CUUR0000SA0,2013,M10,2013 Oct,233.546,N/A
CUUR0000SA0,2013,M11,2013 Nov,233.069,N/A
CUUR0000SA0,2013,M12,2013 Dec,233.049,N/A
CUUR0000SA0,2014,M01,2014 Jan,233.916,N/A
CUUR0000SA0,2014,M02,2014 Feb,234.781,N/A
CUUR0000SA0,2014,M03,2014 Mar,236.293,N/A
CUUR0000SA0,2014,M04,2014 Apr,237.072,N/A
CUUR0000SA0,2014,M05,2014 May,237.900,N/A
CUUR0000SA0,2014,M06,2014 Jun,238.343,N/A
CUUR0000SA0,2014,M07,2014 Jul,238.250,N/A
CUUR0000SA0,2014,M08,2014 Aug,237.852,N/A
CUUR0000SA0,2014,M09,2014 Sep,238.031,N/A
CUUR0000SA0,2014,M10,2014 Oct,237.433,N/A
CUUR0000SA0,2014,M11,2014 Nov,236.151,N/A
CUUR0000SA0,2014,M12,2014 Dec,234.812,N/A
CUUR0000SA0,2015,M01,2015 Jan,233.707,N/A
CUUR0000SA0,2015,M02,2015 Feb,234.722,N/A
CUUR0000SA0,2015,M03,2015 Mar,236.119,N/A
CUUR0000SA0,2015,M04,2015 Apr,236.599,N/A
CUUR0000SA0,2015,M05,2015 May,237.805,N/A
CUUR0000SA0,2015,M06,2015 Jun,238.638,N/A
CUUR0000SA0,2015,M07,2015 Jul,238.654,N/A
CUUR0000SA0,2015,M08,2015 Aug,238.316,N/A
CUUR0000SA0,2015,M09,2015 Sep,237.945,N/A
CUUR0000SA0,2015,M10,2015 Oct,237.838,N/A
CUUR0000SA0,2015,M11,2015 Nov,237.336,N/A
CUUR0000SA0,2015,M12,2015 Dec,236.525,N/A
CUUR0000SA0,2016,M01,2016 Jan,236.916,N/A
CUUR0000SA0,2016,M02,2016 Feb,237.111,N/A
CUUR0000SA0,2016,M03,2016 Mar,238.132,N/A
CUUR0000SA0,2016,M04,2016 Apr,239.261,N/A
CUUR0000SA0,2016,M05,2016 May,240.229,N/A
CUUR0000SA0,2016,M06,2016 Jun,241.018,N/A
CUUR0000SA0,2016,M07,2016 Jul,240.628,N/A
CUUR0000SA0,2016,M08,2016 Aug,240.849,N/A
CUUR0000SA0,2016,M09,2016 Sep,241.428,N/A
CUUR0000SA0,2016,M10,2016 Oct,241.729,N/A
CUUR0000SA0,2016,M11,2016 Nov,241.353,N/A
CUUR0000SA0,2016,M12,2016 Dec,241.432,N/A
CUUR0000SA0,2017,M01,2017 Jan,242.839,N/A
CUUR0000SA0,2017,M02,2017 Feb,243.603,N/A
CUUR0000SA0,2017,M03,2017 Mar,243.801,N/A
CUUR0000SA0,2017,M04,2017 Apr,244.524,N/A
CUUR0000SA0,2017,M05,2017 May,244.733,N/A
CUUR0000SA0,2017,M06,2017 Jun,244.955,N/A
CUUR0000SA0,2017,M07,2017 Jul,244.786,N/A
CUUR0000SA0,2017,M08,2017 Aug,245.519,N/A
CUUR0000SA0,2017,M09,2017 Sep,246.819,N/A
CUUR0000SA0,2017,M10,2017 Oct,246.663,N/A
CUUR0000SA0,2017,M11,2017 Nov,246.669,N/A
